calendar_year;project_has_data;pedro_table4_has_data;coverage_status;geographic_scope;recommended_series;ordering_concept;reported_incomes;tax_return_year;number_of_brackets;currency;aggregate_unit;bracket_limit_unit;primary_source;source_block;primary_source_url;primary_link_type;pdf_download_url;alternative_url;local_file;pdf_page;printed_page;table_or_panel;primary_sqlite_table;related_sqlite_tables;pedro_table4_source;pedro_table4_status;methodological_note;next_action
1937;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1938;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1939;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1940;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1941;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1942;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; cobertura DF";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1943;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;12;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1941_1945_df_faixas; irpf_aeb1941_1945_df_totais; irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1946;"consta na Tabela 4; DF, SP, RS e MG";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1944;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;11;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";Mortara (1949b);"consta na Tabela 4; Brasil exceto Sergipe";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1945;1;1;temos somente serie regional (Distrito Federal) no banco;Distrito Federal;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";;11;Cr$;Cr$ 1.000;Cr$ 1.000;Anuario Estatistico do Brasil 1946, p. 489, tabela beta;aeb_1946_distrito_federal_1935_1945;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;oficial IBGE;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1946.pdf;;outputs/fontes-pedro-souza-irpf/aeb_1946.pdf;506;489;;irpf_historico_totais_consolidado;"irpf_aeb1946_df_faixas; irpf_aeb1946_df_totais";AEB 1948;"consta na Tabela 4; Brasil";"nosso dado e regional/local, nao Brasil | Serie do Distrito Federal; nao comparar diretamente com a serie nacional.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1946;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1947;15;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1949, p. 570, Tabela b;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1949.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1949.pdf;603;570;;irpf_historico_totais_consolidado;"irpf_aeb1949_1952_brasil_faixas; irpf_aeb1949_1952_brasil_totais; irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1949;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1947;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1948;15;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1949, p. 570, Tabela b;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1949.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1949.pdf;603;570;;irpf_historico_totais_consolidado;"irpf_aeb1949_1952_brasil_faixas; irpf_aeb1949_1952_brasil_totais; irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1949;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1948;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1949;15;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1950, p. 496, Tabela b;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1950.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1950.pdf;512;496;;irpf_historico_totais_consolidado;"irpf_aeb1949_1952_brasil_faixas; irpf_aeb1949_1952_brasil_totais; irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1950;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1949;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1950;15;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1951, p. 506, Tabela b;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1951.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1951.pdf;529;506;;irpf_historico_totais_consolidado;"irpf_aeb1949_1952_brasil_faixas; irpf_aeb1949_1952_brasil_totais; irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1951;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1950;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1951;15;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1952, p. 515, Tabela d;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1952.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1952.pdf;530;515;;irpf_historico_totais_consolidado;"irpf_aeb1949_1952_brasil_faixas; irpf_aeb1949_1952_brasil_totais; irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1952;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1951;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1952;14;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1953, p. 444, Tabela c;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1953.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1953.pdf;469;444;;irpf_historico_totais_consolidado;"irpf_aeb1949_1952_brasil_faixas; irpf_aeb1949_1952_brasil_totais; irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1953;"consta na Tabela 4; Brasil";"A soma das classes publicadas tem 246017 contribuintes; o total publicado e 249017.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1952;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1953;14;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1954, p. 482, Tabela c;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1954.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1954.pdf;517;482;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1954;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1953;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1954;14;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1955, p. 531, Tabela c;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1955.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1955.pdf;552;531;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1955;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1954;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1955;14;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1956, p. 404, Tabela 2a;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1956.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1956.pdf;400;404;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1956;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1955;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1956;14;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1957, p. 452, Tabela 3e/2ba;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1957.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1957.pdf;474;452;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1957;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1956;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1957;13;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1958, p. 450, Tabela 3d/1ba;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1958.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1958.pdf;476;450;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1958;"consta na Tabela 4; Brasil";"A soma da coluna de renda liquida das classes publicadas e 55.440.318; o total publicado e 55.420.323.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1957;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1958;13;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1959, p. 436, Tabela 3d/ba;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1959.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1959.pdf;440;436;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1959;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1958;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1959;13;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1960, p. 377, Tabela 2a;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1960.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1960.pdf;383;377;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1960;"consta na Tabela 4; Brasil";"A soma da coluna de imposto notificado das classes publicadas e 9.414.506; o total publicado e 9.414.566.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1959;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1960;13;Cr$;Cr$ 1.000;Cr$ 1.000;IBGE, Anuario Estatistico do Brasil 1961, p. 423, Tabela 2a;aeb_brasil_1946_1959;https://biblioteca.ibge.gov.br/visualizacao/periodicos/20/aeb_1961.pdf;oficial IBGE;;;outputs/fontes-pedro-souza-irpf/aeb_1961.pdf;420;423;;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais";AEB 1961;"consta na Tabela 4; Brasil";;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
